unit_id,qc_result,rework_flag,downtime_minutes,rework_reason
G-000179,Pass,0,1,
G-000180,Pass,0,1,
G-000181,Pass,0,3,
G-000182,Pass,0,3,
G-000183,Pass,0,1,
G-000184,Fail,1,21,Incorrect dimensions
G-000185,Pass,0,1,
G-000186,Pass,0,1,
G-000187,Pass,0,1,
G-000188,Pass,0,3,
G-000189,Pass,0,3,
G-000190,Pass,0,1,
G-000191,Pass,0,3,
G-000192,Fail,1,44,Incorrect dimensions
G-000193,Pass,0,3,
G-000194,Pass,0,1,
G-000195,Pass,0,0,
G-000196,Pass,0,2,
G-000197,Pass,0,1,
G-000198,Fail,1,42,Material Defect
G-000199,Pass,0,1,
G-000200,Fail,1,59,Edge chip
G-000201,Pass,0,0,
G-000202,Fail,1,46,Material Defect
G-000203,Pass,0,0,
G-000204,Pass,0,3,
G-000205,Pass,0,3,
G-000206,Pass,0,1,
G-000207,Pass,0,1,
G-000208,Pass,0,3,
G-000209,Fail,1,20,Machine Malfunction
G-000210,Fail,1,49,Machine Malfunction
G-000211,Pass,0,0,
G-000212,Pass,0,3,
G-000213,Pass,0,2,
G-000214,Pass,0,3,
G-000215,Pass,0,1,
G-000216,Pass,0,1,
G-000217,Pass,0,3,
G-000218,Pass,0,1,
G-000219,Fail,1,26,Edge chip
G-000220,Pass,0,3,
G-000221,Pass,0,1,
G-000222,Pass,0,3,
G-000223,Pass,0,1,
G-000224,Pass,0,1,
G-000225,Fail,1,44,Incorrect dimensions
G-000226,Pass,0,2,
G-000227,Pass,0,3,
G-000228,Fail,1,35,Incorrect dimensions
G-000229,Fail,1,44,Edge chip
G-000230,Pass,0,0,
G-000231,Fail,1,50,Material Defect
G-000232,Fail,1,38,Incorrect dimensions
G-000233,Pass,0,0,
G-000234,Pass,0,2,
G-000235,Pass,0,3,
G-000236,Fail,1,21,Edge chip
G-000237,Pass,0,1,
G-000238,Pass,0,2,
G-000239,Pass,0,3,
G-000240,Pass,0,3,
G-000241,Pass,0,2,
G-000242,Fail,1,52,Machine Malfunction
G-000243,Pass,0,2,
G-000244,Pass,0,3,
G-000245,Pass,0,3,
G-000246,Fail,1,45,Machine Malfunction
G-000247,Pass,0,0,
G-000248,Pass,0,2,
G-000249,Pass,0,1,
G-000250,Pass,0,0,
G-000251,Pass,0,1,
G-000252,Fail,1,49,Incorrect dimensions
G-000253,Fail,1,40,Edge chip
G-000254,Fail,1,42,Fatigue / Shift Pressure
G-000255,Pass,0,2,
G-000256,Pass,0,1,
G-000257,Pass,0,1,
G-000258,Fail,1,34,Edge chip
G-000259,Pass,0,0,
G-000260,Pass,0,2,
G-000261,Pass,0,3,
G-000262,Pass,0,2,
G-000263,Pass,0,2,
G-000264,Pass,0,0,
G-000265,Pass,0,1,
G-000266,Pass,0,1,
G-000267,Pass,0,2,
G-000268,Fail,1,52,Material Defect
G-000269,Pass,0,3,
G-000270,Fail,1,44,Edge chip
G-000271,Pass,0,0,
G-000272,Pass,0,2,
G-000273,Pass,0,1,
G-000274,Pass,0,3,
G-000275,Fail,1,31,Incorrect dimensions
G-000276,Pass,0,3,
G-000277,Fail,1,57,Edge chip
G-000278,Pass,0,1,
G-000279,Pass,0,2,
G-000280,Pass,0,1,
G-000281,Pass,0,0,
G-000282,Fail,1,44,Incorrect dimensions
G-000283,Pass,0,3,
G-000284,Fail,1,48,Edge chip
G-000285,Pass,0,0,
G-000286,Pass,0,2,
G-000287,Fail,1,46,Edge chip
G-000288,Pass,0,0,
G-000289,Fail,1,21,Incorrect dimensions
G-000290,Pass,0,3,
G-000291,Pass,0,2,
G-000292,Pass,0,3,
G-000293,Fail,1,25,Edge chip
G-000294,Fail,1,23,Incorrect dimensions
G-000295,Pass,0,3,
G-000296,Pass,0,3,
G-000297,Pass,0,0,
G-000298,Fail,1,46,Edge chip
G-000299,Fail,1,55,Edge chip
G-000300,Pass,0,3,
G-000301,Pass,0,3,
G-000302,Pass,0,1,
G-000303,Pass,0,2,
G-000304,Pass,0,0,
G-000305,Fail,1,51,Incorrect dimensions
G-000306,Fail,1,54,Edge chip
G-000307,Pass,0,0,
G-000308,Pass,0,0,
G-000309,Pass,0,1,
G-000310,Pass,0,1,
G-000311,Pass,0,1,
G-000312,Pass,0,0,
G-000313,Fail,1,26,Incorrect dimensions
G-000314,Pass,0,1,
G-000315,Pass,0,1,
G-000316,Pass,0,3,
G-000317,Pass,0,1,
G-000318,Pass,0,2,
G-000319,Pass,0,0,
G-000320,Fail,1,46,Edge chip
G-000321,Fail,1,29,Edge chip
G-000322,Pass,0,0,
G-000323,Fail,1,48,Material Defect
G-000324,Pass,0,2,
G-000325,Fail,1,24,Material Defect
G-000326,Pass,0,3,
G-000327,Fail,1,44,Machine Malfunction
G-000328,Fail,1,52,Machine Malfunction
G-000329,Fail,1,26,Machine Malfunction
G-000330,Fail,1,50,Machine Malfunction
G-000331,Pass,0,0,
G-000332,Pass,0,2,
G-000333,Fail,1,22,Machine Malfunction
G-000334,Pass,0,3,
G-000335,Pass,0,3,
G-000336,Fail,1,37,Machine Malfunction
G-000337,Pass,0,1,
G-000338,Pass,0,1,
G-000339,Pass,0,3,
G-000340,Pass,0,1,
G-000341,Pass,0,2,
G-000342,Fail,1,28,Design / Specification Issue
G-000343,Pass,0,1,
G-000344,Pass,0,2,
G-000345,Pass,0,1,
G-000346,Pass,0,1,
G-000347,Pass,0,1,
G-000348,Pass,0,1,
G-000349,Fail,1,58,Edge chip
G-000350,Fail,1,37,Incorrect dimensions
G-000351,Pass,0,1,
G-000352,Pass,0,0,
G-000353,Pass,0,0,
G-000354,Fail,1,39,Edge chip
G-000355,Pass,0,1,
G-000356,Pass,0,2,
G-000357,Pass,0,0,
G-000358,Pass,0,3,
G-000359,Pass,0,3,
G-000360,Fail,1,33,Incorrect dimensions
G-000361,Pass,0,3,
G-000362,Fail,1,33,Machine Malfunction
G-000363,Pass,0,3,
G-000364,Pass,0,0,
G-000365,Pass,0,1,
G-000366,Fail,1,48,Machine Malfunction
G-000367,Pass,0,3,
G-000368,Pass,0,0,
G-000369,Fail,1,54,Incorrect dimensions
G-000370,Pass,0,0,
G-000371,Pass,0,0,
G-000372,Pass,0,2,
G-000373,Fail,1,56,Edge chip
G-000374,Pass,0,2,
G-000375,Pass,0,0,
G-000376,Fail,1,34,Edge chip
G-000377,Pass,0,2,
G-000378,Pass,0,0,
G-000379,Pass,0,2,
G-000380,Pass,0,3,
G-000381,Pass,0,1,
G-000382,Pass,0,3,
G-000383,Pass,0,2,
G-000384,Fail,1,20,Incorrect dimensions
G-000385,Pass,0,2,
G-000386,Pass,0,1,
G-000387,Pass,0,2,
G-000388,Pass,0,2,
G-000389,Fail,1,25,Incorrect dimensions
G-000390,Pass,0,1,
G-000391,Pass,0,1,
G-000392,Fail,1,41,Incorrect dimensions
G-000393,Fail,1,34,Incorrect dimensions
G-000394,Pass,0,1,
G-000395,Pass,0,3,
G-000396,Fail,1,28,Edge chip
G-000397,Pass,0,2,
G-000398,Pass,0,0,
G-000399,Pass,0,1,
G-000400,Pass,0,0,
G-000401,Fail,1,42,Incorrect dimensions
G-000402,Pass,0,3,
G-000403,Pass,0,1,
G-000404,Fail,1,22,Material Defect
G-000405,Fail,1,29,Incorrect dimensions
G-000406,Pass,0,0,
G-000407,Pass,0,1,
G-000408,Pass,0,1,
G-000409,Pass,0,2,
G-000410,Pass,0,2,
G-000411,Fail,1,40,Incorrect dimensions
G-000412,Fail,1,40,Incorrect dimensions
G-000413,Fail,1,22,Incorrect dimensions
G-000414,Pass,0,0,
G-000415,Fail,1,55,Incorrect dimensions
G-000416,Pass,0,0,
G-000417,Pass,0,0,
G-000418,Pass,0,0,
G-000419,Pass,0,3,
G-000420,Pass,0,2,
G-000421,Pass,0,0,
G-000422,Pass,0,3,
G-000423,Pass,0,1,
G-000424,Pass,0,1,
G-000425,Pass,0,3,
G-000426,Pass,0,2,
G-000427,Pass,0,3,
G-000428,Pass,0,2,
G-000429,Fail,1,59,Edge chip
G-000430,Pass,0,2,
G-000431,Fail,1,24,Edge chip
G-000432,Pass,0,2,
G-000433,Pass,0,2,
G-000434,Fail,1,39,Edge chip
G-000435,Pass,0,0,
G-000436,Pass,0,3,
G-000437,Pass,0,3,
G-000438,Pass,0,0,
G-000439,Fail,1,22,Edge chip
G-000440,Pass,0,1,
G-000441,Pass,0,1,
G-000442,Pass,0,2,
G-000443,Pass,0,0,
G-000444,Pass,0,0,
G-000445,Pass,0,1,
G-000446,Pass,0,0,
G-000447,Fail,1,50,Material Defect
G-000448,Fail,1,22,Design / Specification Issue
G-000449,Pass,0,1,
G-000450,Pass,0,2,
G-000451,Pass,0,3,
G-000452,Pass,0,1,
G-000453,Pass,0,0,
G-000454,Pass,0,1,
G-000455,Pass,0,0,
G-000456,Pass,0,1,
G-000457,Pass,0,2,
G-000458,Pass,0,1,
G-000459,Pass,0,3,
G-000460,Pass,0,1,
G-000461,Pass,0,2,
G-000462,Pass,0,2,
G-000463,Pass,0,2,
G-000464,Pass,0,1,
G-000465,Pass,0,1,
G-000466,Pass,0,0,
G-000467,Pass,0,0,
G-000468,Pass,0,0,
G-000469,Pass,0,1,
G-000470,Pass,0,3,
G-000471,Pass,0,3,
G-000472,Pass,0,1,
G-000473,Pass,0,3,
G-000474,Pass,0,0,
G-000475,Pass,0,0,
G-000476,Pass,0,1,
G-000477,Pass,0,2,
G-000478,Pass,0,1,
G-000479,Fail,1,41,Incorrect dimensions
G-000480,Fail,1,31,Incorrect dimensions
G-000481,Fail,1,58,Machine Malfunction
G-000482,Fail,1,26,Machine Malfunction
G-000483,Pass,0,3,
G-000484,Pass,0,2,
G-000485,Pass,0,0,
G-000486,Pass,0,0,
G-000487,Pass,0,1,
G-000488,Pass,0,2,
G-000489,Pass,0,1,
G-000490,Pass,0,0,
G-000491,Pass,0,1,
G-000492,Fail,1,26,Edge chip
G-000493,Pass,0,2,
G-000494,Fail,1,32,Edge chip
G-000495,Fail,1,45,Material Defect
G-000496,Pass,0,1,
G-000497,Pass,0,1,
G-000498,Fail,1,39,Incorrect dimensions
G-000499,Pass,0,0,
G-000500,Fail,1,54,Scratched glass
G-000501,Fail,1,46,Design / Specification Issue
G-000502,Pass,0,2,
G-000503,Pass,0,2,
G-000504,Pass,0,1,
G-000505,Pass,0,0,
G-000506,Fail,1,47,Incorrect dimensions
G-000507,Fail,1,42,Incorrect dimensions
G-000508,Pass,0,0,
G-000509,Pass,0,3,
G-000510,Fail,1,58,Edge chip
G-000511,Pass,0,3,
G-000512,Pass,0,3,
G-000513,Pass,0,1,
G-000514,Pass,0,2,
G-000515,Pass,0,0,
G-000516,Pass,0,0,
G-000517,Fail,1,45,Edge chip
G-000518,Pass,0,0,
G-000519,Pass,0,2,
G-000520,Fail,1,39,Edge chip
G-000521,Pass,0,2,
G-000522,Pass,0,0,
G-000523,Pass,0,0,
G-000524,Fail,1,20,Misaligned frame
G-000525,Pass,0,2,
G-000526,Pass,0,2,
G-000527,Fail,1,51,Incorrect dimensions
G-000528,Fail,1,42,Edge chip
G-000529,Pass,0,1,
G-000530,Pass,0,3,
G-000531,Pass,0,0,
G-000532,Pass,0,1,
G-000533,Fail,1,20,Incorrect dimensions
G-000534,Pass,0,0,
G-000535,Pass,0,1,
G-000536,Pass,0,1,
G-000537,Pass,0,3,
G-000538,Pass,0,0,
G-000539,Pass,0,3,
G-000540,Fail,1,37,Incorrect dimensions
G-000541,Pass,0,0,
G-000542,Pass,0,0,
G-000543,Pass,0,2,
G-000544,Pass,0,3,
G-000545,Pass,0,0,
G-000546,Pass,0,1,
G-000547,Pass,0,1,
G-000548,Pass,0,2,
G-000549,Fail,1,50,Incorrect dimensions
G-000550,Fail,1,28,Edge chip
G-000551,Fail,1,37,Scratched glass
G-000552,Pass,0,2,
G-000553,Pass,0,1,
G-000554,Pass,0,3,
G-000555,Fail,1,24,Edge chip
G-000556,Pass,0,3,
G-000557,Pass,0,3,
G-000558,Pass,0,0,
G-000559,Pass,0,0,
G-000560,Fail,1,50,Design / Specification Issue
G-000561,Fail,1,58,Edge chip
G-000562,Pass,0,2,
G-000563,Pass,0,0,
G-000564,Pass,0,3,
G-000565,Fail,1,26,Machine Malfunction
G-000566,Pass,0,1,
G-000567,Pass,0,3,
G-000568,Pass,0,2,
G-000569,Pass,0,1,
G-000570,Pass,0,2,
G-000571,Fail,1,26,Machine Malfunction
G-000572,Pass,0,0,
G-000573,Fail,1,60,Machine Malfunction
G-000574,Pass,0,0,
G-000575,Pass,0,0,
G-000576,Pass,0,1,
G-000577,Fail,1,27,Design / Specification Issue
G-000578,Pass,0,3,
G-000579,Fail,1,48,Edge chip
G-000580,Pass,0,2,
G-000581,Pass,0,0,
G-000582,Pass,0,1,
G-000583,Pass,0,2,
G-000584,Pass,0,0,
G-000585,Pass,0,2,
G-000586,Pass,0,3,
G-000587,Fail,1,40,Material Defect
G-000588,Fail,1,24,Scratched glass
G-000589,Pass,0,2,
G-000590,Pass,0,2,
G-000591,Pass,0,2,
G-000592,Pass,0,2,
G-000593,Pass,0,0,
G-000594,Pass,0,2,
G-000595,Pass,0,1,
G-000596,Pass,0,0,
G-000597,Fail,1,54,Incorrect dimensions
G-000598,Pass,0,2,
G-000599,Pass,0,3,
G-000600,Pass,0,1,
G-000601,Pass,0,0,
G-000602,Pass,0,2,
G-000603,Fail,1,26,Machine Malfunction
G-000604,Pass,0,1,
G-000605,Pass,0,0,
G-000606,Fail,1,39,Machine Malfunction
G-000607,Fail,1,55,Edge chip
G-000608,Pass,0,1,
G-000609,Pass,0,2,
G-000610,Pass,0,1,
G-000611,Pass,0,2,
G-000612,Pass,0,0,
G-000613,Pass,0,0,
G-000614,Fail,1,30,Incorrect dimensions
G-000615,Fail,1,57,Fatigue / Shift Pressure
G-000616,Pass,0,0,
G-000617,Fail,1,47,Edge chip
G-000618,Pass,0,0,
G-000619,Pass,0,2,
G-000620,Pass,0,0,
G-000621,Pass,0,3,
G-000622,Fail,1,54,Incorrect dimensions
G-000623,Pass,0,3,
G-000624,Pass,0,2,
G-000625,Pass,0,3,
G-000626,Fail,1,44,Incorrect dimensions
G-000627,Pass,0,1,
G-000628,Fail,1,47,Fatigue / Shift Pressure
G-000629,Pass,0,1,
G-000630,Fail,1,39,Incorrect dimensions
G-000631,Pass,0,1,
G-000632,Fail,1,35,Incorrect dimensions
G-000633,Pass,0,1,
G-000634,Pass,0,1,
G-000635,Pass,0,0,
G-000636,Pass,0,2,
G-000637,Pass,0,0,
G-000638,Fail,1,40,Edge chip
G-000639,Pass,0,2,
G-000640,Pass,0,0,
G-000641,Pass,0,0,
G-000642,Fail,1,22,Edge chip
G-000643,Pass,0,2,
G-000644,Pass,0,3,
G-000645,Pass,0,3,
G-000646,Pass,0,0,
G-000647,Fail,1,38,Incorrect dimensions
G-000648,Fail,1,24,Incorrect dimensions
G-000649,Pass,0,0,
G-000650,Pass,0,1,
G-000651,Fail,1,45,Edge chip
G-000652,Fail,1,20,Incorrect dimensions
G-000653,Fail,1,52,Incorrect dimensions
G-000654,Pass,0,2,
G-000655,Pass,0,0,
G-000656,Pass,0,0,
G-000657,Pass,0,3,
G-000658,Pass,0,3,
G-000659,Pass,0,2,
G-000660,Pass,0,0,
G-000661,Pass,0,1,
G-000662,Pass,0,0,
G-000663,Pass,0,1,
G-000664,Pass,0,2,
G-000665,Fail,1,35,Edge chip
G-000666,Pass,0,2,
G-000667,Pass,0,2,
G-000668,Pass,0,3,
G-000669,Pass,0,0,
G-000670,Pass,0,3,
G-000671,Fail,1,31,Incorrect dimensions
G-000672,Fail,1,44,Edge chip
G-000673,Fail,1,23,Edge chip
G-000674,Pass,0,0,
G-000675,Fail,1,20,Incorrect dimensions
G-000676,Pass,0,0,
G-000677,Pass,0,2,
G-000678,Pass,0,2,
G-000679,Pass,0,1,
G-000680,Pass,0,2,
G-000681,Fail,1,50,Incorrect dimensions
G-000682,Pass,0,2,
G-000683,Fail,1,38,Edge chip
G-000684,Fail,1,21,Fatigue / Shift Pressure
G-000685,Pass,0,2,
G-000686,Pass,0,1,
G-000687,Pass,0,1,
G-000688,Pass,0,2,
G-000689,Fail,1,41,Machine Malfunction
G-000690,Pass,0,1,
G-000691,Pass,0,3,
G-000692,Fail,1,45,Machine Malfunction
G-000693,Pass,0,1,
G-000694,Pass,0,2,
G-000695,Fail,1,31,Machine Malfunction
G-000696,Fail,1,47,Machine Malfunction
G-000697,Pass,0,3,
G-000698,Pass,0,1,
G-000699,Pass,0,0,
G-000700,Pass,0,0,
G-000701,Pass,0,1,
G-000702,Pass,0,0,
G-000703,Fail,1,24,Edge chip
G-000704,Fail,1,24,Incorrect dimensions
G-000705,Pass,0,1,
G-000706,Fail,1,38,Incorrect dimensions
G-000707,Pass,0,2,
G-000708,Pass,0,2,
G-000709,Pass,0,3,
G-000710,Fail,1,59,Incorrect dimensions
G-000711,Fail,1,42,Edge chip
G-000712,Pass,0,0,
G-000713,Pass,0,1,
G-000714,Pass,0,2,
G-000715,Pass,0,0,
G-000716,Pass,0,3,
G-000717,Pass,0,1,
G-000718,Pass,0,3,
G-000719,Fail,1,21,Edge chip
G-000720,Fail,1,57,Edge chip
G-000721,Fail,1,34,Machine Malfunction
G-000722,Fail,1,38,Machine Malfunction
G-000723,Pass,0,0,
G-000724,Pass,0,0,
G-000725,Fail,1,34,Machine Malfunction
G-000726,Fail,1,55,Machine Malfunction
G-000727,Pass,0,1,
G-000728,Pass,0,2,
G-000729,Pass,0,1,
G-000730,Pass,0,1,
G-000731,Pass,0,1,
G-000732,Fail,1,59,Incorrect dimensions
G-000733,Fail,1,58,Incorrect dimensions
G-000734,Pass,0,3,
G-000735,Pass,0,0,
G-000736,Fail,1,58,Edge chip
G-000737,Pass,0,1,
G-000738,Pass,0,1,
G-000739,Pass,0,3,
G-000740,Fail,1,29,Incorrect dimensions
G-000741,Pass,0,0,
G-000742,Pass,0,1,
G-000743,Pass,0,3,
G-000744,Pass,0,1,
G-000745,Pass,0,3,
G-000746,Pass,0,0,
G-000747,Pass,0,2,
G-000748,Pass,0,2,
G-000749,Pass,0,1,
G-000750,Pass,0,3,
G-000751,Fail,1,31,Design / Specification Issue
G-000752,Fail,1,32,Material Defect
G-000753,Fail,1,33,Edge chip
G-000754,Pass,0,0,
G-000755,Pass,0,1,
G-000756,Pass,0,2,
G-000757,Fail,1,52,Edge chip
G-000758,Fail,1,25,Incorrect dimensions
G-000759,Pass,0,2,
G-000760,Pass,0,2,
G-000761,Fail,1,50,Incorrect dimensions
G-000762,Pass,0,3,
G-000763,Pass,0,1,
G-000764,Fail,1,56,Incorrect dimensions
G-000765,Fail,1,25,Material Defect
G-000766,Fail,1,24,Incorrect dimensions
G-000767,Pass,0,1,
G-000768,Fail,1,30,Edge chip
G-000769,Fail,1,37,Incorrect dimensions
G-000770,Pass,0,2,
G-000771,Pass,0,0,
G-000772,Pass,0,0,
G-000773,Pass,0,2,
G-000774,Pass,0,0,
G-000775,Fail,1,57,Edge chip
G-000776,Fail,1,24,Incorrect dimensions
G-000777,Pass,0,0,
G-000778,Pass,0,1,
G-000779,Fail,1,44,Incorrect dimensions
G-000780,Pass,0,3,
G-000781,Pass,0,0,
G-000782,Fail,1,24,Incorrect dimensions
G-000783,Pass,0,0,
G-000784,Pass,0,1,
G-000785,Pass,0,0,
G-000786,Pass,0,2,
G-000787,Pass,0,1,
G-000788,Fail,1,29,Edge chip
G-000789,Pass,0,2,
G-000790,Fail,1,44,Incorrect dimensions
G-000791,Fail,1,29,Material Defect
G-000792,Pass,0,1,
G-000793,Fail,1,58,Incorrect dimensions
G-000794,Fail,1,50,Incorrect dimensions
G-000795,Fail,1,50,Edge chip
G-000796,Pass,0,3,
G-000797,Pass,0,2,
G-000798,Pass,0,3,
G-000799,Fail,1,22,Edge chip
G-000800,Fail,1,33,Incorrect dimensions
G-000801,Pass,0,1,
G-000802,Pass,0,2,
G-000803,Fail,1,39,Incorrect dimensions
G-000804,Pass,0,1,
G-000805,Fail,1,41,Machine Malfunction
G-000806,Pass,0,3,
G-000807,Fail,1,28,Machine Malfunction
G-000808,Pass,0,2,
G-000809,Fail,1,53,Machine Malfunction
G-000810,Fail,1,52,Machine Malfunction
G-000811,Pass,0,3,
G-000812,Fail,1,49,Machine Malfunction
G-000813,Pass,0,1,
G-000814,Pass,0,1,
G-000815,Pass,0,0,
G-000816,Fail,1,45,Machine Malfunction
G-000817,Pass,0,3,
G-000818,Fail,1,50,Incorrect dimensions
G-000819,Pass,0,1,
G-000820,Fail,1,53,Edge chip
G-000821,Pass,0,3,
G-000822,Pass,0,0,
G-000823,Pass,0,1,
G-000824,Fail,1,54,Edge chip
G-000825,Pass,0,2,
G-000826,Fail,1,35,Edge chip
G-000827,Fail,1,35,Edge chip
G-000828,Pass,0,1,
G-000829,Pass,0,1,
G-000830,Pass,0,3,
G-000831,Pass,0,1,
G-000832,Pass,0,0,
G-000833,Pass,0,0,
G-000834,Fail,1,44,Incorrect dimensions
G-000835,Pass,0,2,
G-000836,Fail,1,33,Edge chip
G-000837,Pass,0,1,
G-000838,Pass,0,3,
G-000839,Fail,1,53,Incorrect dimensions
G-000840,Pass,0,3,
G-000841,Pass,0,0,
G-000842,Pass,0,1,
G-000843,Pass,0,2,
G-000844,Pass,0,3,
G-000845,Fail,1,39,Machine Malfunction
G-000846,Pass,0,3,
G-000847,Pass,0,3,
G-000848,Fail,1,35,Incorrect dimensions
G-000849,Pass,0,2,
G-000850,Pass,0,0,
G-000851,Pass,0,0,
G-000852,Pass,0,1,
G-000853,Pass,0,1,
G-000854,Pass,0,1,
G-000855,Pass,0,2,
G-000856,Pass,0,1,
G-000857,Pass,0,0,
G-000858,Pass,0,3,
G-000859,Pass,0,0,
G-000860,Fail,1,33,Edge chip
G-000861,Pass,0,0,
G-000862,Pass,0,3,
G-000863,Fail,1,22,Contamination
G-000864,Pass,0,0,
G-000865,Fail,1,57,Design / Specification Issue
G-000866,Fail,1,46,Edge chip
G-000867,Fail,1,60,Incorrect dimensions
G-000868,Fail,1,24,Edge chip
G-000869,Pass,0,1,
